Rank by Charges,HCPCS Code,Allowed Charges,Allowed Services,
1 ,99214,"12,493,376,407 ","103,756,876 ",
2 ,99213,"5,914,372,895 ","69,301,624 ",
3 ,99233,"2,693,744,916 ","22,975,112 ",
4 ,99232,"2,676,454,801 ","34,687,153 ",
5 ,99215,"2,166,116,667 ","12,926,784 ",
6 ,66984,"2,083,106,935 ","2,894,779 ",
7 ,99204,"2,017,045,887 ","12,665,694 ",
8 ,99223,"1,719,681,731 ","10,128,050 ",
9 ,99285,"1,550,490,650 ","9,078,820 ",
10 ,97110,"1,525,240,465 ","64,241,407 ",
11 ,97530,"1,468,535,301 ","44,663,864 ",
12 ,99309,"1,463,022,814 ","14,874,398 ",
13 ,99291,"1,220,461,668 ","5,801,932 ",
14 ,92014,"1,151,360,872 ","9,209,033 ",
15 ,97112,"980,362,258 ","34,780,930 ",
16 ,88305,"943,241,257 ","18,378,714 ",
17 ,99203,"908,221,381 ","8,657,943 ",
18 ,90837,"884,730,260 ","6,947,927 ",
19 ,27447,"866,729,803 ","571,702 ",
20 ,99308,"827,690,756 ","11,796,597 ",
21 ,93306,"776,264,152 ","6,792,807 ",
22 ,99222,"767,605,186 ","6,019,156 ",
23 ,91320,"684,236,616 ","4,556,240 ",
24 ,99205,"635,321,980 ","3,053,177 ",
25 ,97140,"626,364,882 ","29,289,784 ",
26 ,99239,"606,638,214 ","5,422,788 ",
27 ,91322,"588,182,441 ","3,745,420 ",
28 ,81479,"584,151,461 ","232,861 ",
29 ,45385,"572,345,129 ","1,564,840 ",
30 ,90662,"550,124,529 ","6,667,628 ",
31 ,17311,"535,249,218 ","934,986 ",
32 ,99284,"524,513,867 ","4,533,093 ",
33 ,78815,"517,389,195 ","831,123 ",
34 ,98941,"497,890,174 ","12,854,954 ",
35 ,90677,"480,475,903 ","1,632,643 ",
36 ,27130,"469,810,748 ","325,255 ",
37 ,87798,"446,942,858 ","12,743,732 ",
38 ,67028,"434,985,492 ","3,586,322 ",
39 ,99490,"418,362,979 ","6,919,851 ",
40 ,99349,"414,949,773 ","3,651,528 ",
41 ,93229,"401,336,839 ","389,346 ",
42 ,77067,"400,514,036 ","6,051,893 ",
43 ,90960,"395,708,858 ","1,124,923 ",
44 ,74177,"393,861,433 ","3,650,112 ",
45 ,63685,"374,946,479 ","47,060 ",
46 ,99212,"356,699,222 ","6,773,732 ",
47 ,36415,"349,864,473 ","40,286,512 ",
48 ,17110,"332,228,135 ","3,196,463 ",
49 ,90480,"325,917,307 ","8,394,502 ",
50 ,92134,"322,015,398 ","8,173,011 ",
51 ,81528,"318,102,972 ","625,117 ",
52 ,78431,"317,123,784 ","197,404 ",
53 ,20610,"317,059,555 ","4,838,172 ",
54 ,17000,"316,384,252 ","6,302,069 ",
55 ,45380,"315,090,463 ","1,288,094 ",
56 ,99310,"309,234,169 ","2,232,315 ",
57 ,90834,"306,518,091 ","3,448,763 ",
58 ,90653,"297,353,618 ","3,580,872 ",
59 ,78452,"292,206,348 ","1,244,208 ",
60 ,11102,"292,151,294 ","3,491,788 ",
61 ,92012,"287,796,766 ","3,156,606 ",
62 ,80053,"287,381,549 ","27,226,532 ",
63 ,23472,"277,613,767 ","145,801 ",
64 ,43239,"276,859,565 ","1,630,498 ",
65 ,63650,"266,067,446 ","125,761 ",
66 ,66821,"260,844,684 ","854,180 ",
67 ,37229,"247,443,190 ","37,298 ",
68 ,64483,"239,445,046 ","898,140 ",
69 ,99306,"237,559,895 ","1,343,978 ",
70 ,11721,"234,411,726 ","5,355,008 ",
71 ,92004,"233,640,094 ","1,591,819 ",
72 ,84443,"233,495,460 ","13,901,791 ",
73 ,80061,"232,105,020 ","17,336,631 ",
74 ,96413,"216,491,663 ","1,706,973 ",
75 ,99350,"215,932,000 ","1,299,327 ",
76 ,93880,"208,858,251 ","1,672,127 ",
77 ,99497,"205,998,238 ","2,700,180 ",
78 ,85025,"203,564,402 ","26,204,438 ",
79 ,17312,"202,557,361 ","505,111 ",
80 ,70450,"201,916,760 ","4,946,228 ",
81 ,77063,"200,672,063 ","5,806,918 ",
82 ,77014,"198,322,654 ","2,789,498 ",
83 ,99231,"194,924,478 ","4,093,230 ",
84 ,66982,"194,394,725 ","230,903 ",
85 ,64635,"191,882,827 ","381,098 ",
86 ,82306,"190,044,245 ","6,421,465 ",
87 ,37225,"186,010,066 ","38,238 ",
88 ,74176,"182,814,684 ","1,992,839 ",
89 ,99496,"181,198,738 ","697,422 ",
90 ,11042,"177,150,214 ","2,042,355 ",
91 ,97161,"173,326,010 ","1,714,670 ",
92 ,71250,"170,223,833 ","2,528,748 ",
93 ,72148,"169,956,706 ","1,438,907 ",
94 ,92083,"168,409,085 ","2,722,808 ",
95 ,70553,"167,390,267 ","1,071,736 ",
96 ,52000,"165,337,440 ","826,982 ",
97 ,00142,"164,497,521 ","1,702,440 ",
98 ,77427,"163,312,881 ","858,311 ",
99 ,77301,"161,753,143 ","194,043 ",
100 ,66991,"160,128,945 ","83,149 ",
101 ,88341,"154,663,440 ","3,780,517 ",
102 ,64493,"152,389,606 ","620,293 ",
103 ,97162,"151,763,650 ","1,505,535 ",
104 ,11056,"148,735,180 ","1,825,005 ",
105 ,00731,"145,948,710 ","1,393,807 ",
106 ,64590,"145,921,357 ","26,702 ",
107 ,93000,"145,608,873 ","10,144,812 ",
108 ,99439,"145,226,495 ","3,107,649 ",
109 ,88342,"144,819,003 ","2,439,214 ",
110 ,29827,"144,086,917 ","122,715 ",
111 ,90832,"142,462,100 ","2,147,415 ",
112 ,71275,"141,694,263 ","1,555,377 ",
113 ,83036,"141,652,407 ","14,593,532 ",
114 ,93970,"140,130,078 ","1,435,903 ",
115 ,37227,"139,824,602 ","17,785 ",
116 ,36902,"139,094,503 ","130,719 ",
117 ,99305,"138,856,688 ","1,082,642 ",
118 ,00811,"137,992,263 ","1,377,475 ",
119 ,99495,"137,561,303 ","723,617 ",
120 ,17004,"137,236,421 ","852,891 ",
121 ,62323,"130,579,006 ","643,116 ",
122 ,99238,"130,127,250 ","1,651,323 ",
123 ,99348,"129,881,898 ","1,830,927 ",
124 ,36465,"129,789,944 ","101,773 ",
125 ,99457,"129,557,103 ","2,639,692 ",
126 ,31231,"126,328,261 ","739,558 ",
127 ,92250,"126,243,917 ","3,485,721 ",
128 ,93010,"124,112,136 ","15,488,184 ",
129 ,17003,"123,086,755 ","19,860,047 ",
130 ,77280,"120,265,692 ","533,983 ",
131 ,93298,"118,518,723 ","1,545,234 ",
132 ,17313,"118,363,361 ","205,759 ",
133 ,80307,"118,193,213 ","1,904,932 ",
134 ,33285,"116,903,271 ","71,485 ",
135 ,71260,"116,741,846 ","1,847,058 ",
136 ,93247,"115,503,690 ","379,435 ",
137 ,97116,"114,538,545 ","4,997,850 ",
138 ,90961,"113,755,563 ","393,024 ",
139 ,71046,"112,216,000 ","6,715,654 ",
140 ,70551,"111,135,985 ","1,162,417 ",
141 ,71045,"111,133,812 ","12,689,613 ",
142 ,20611,"110,007,425 ","1,068,886 ",
143 ,99442,"109,261,061 ","1,294,447 ",
144 ,90791,"109,064,369 ","745,362 ",
145 ,93925,"108,605,946 ","619,120 ",
146 ,88312,"108,547,411 ","1,436,546 ",
147 ,93458,"108,391,126 ","391,718 ",
148 ,01402,"107,722,376 ","474,641 ",
149 ,99443,"106,805,373 ","884,367 ",
150 ,99454,"104,811,276 ","2,172,397 ",
151 ,97535,"104,010,955 ","3,947,482 ",
152 ,78492,"103,578,906 ","77,055 ",
153 ,87481,"102,533,546 ","2,949,068 ",
154 ,22612,"102,366,787 ","69,670 ",
155 ,90833,"102,228,505 ","1,543,047 ",
156 ,92928,"100,978,711 ","188,997 ",
157 ,98940,"100,720,810 ","3,711,173 ",
158 ,99489,"97,455,803 ","1,438,666 ",
159 ,74183,"97,167,331 ","550,530 ",
160 ,81542,"97,030,269 ","25,053 ",
161 ,00670,"96,852,627 ","239,213 ",
162 ,11043,"96,176,086 ","506,320 ",
163 ,81519,"96,079,086 ","24,810 ",
164 ,92133,"95,611,626 ","2,771,746 ",
165 ,73721,"94,506,318 ","732,742 ",
166 ,96372,"94,476,607 ","6,928,801 ",
167 ,90792,"92,555,796 ","554,708 ",
168 ,74178,"92,107,227 ","528,964 ",
169 ,27245,"91,879,844 ","94,688 ",
170 ,63047,"91,474,940 ","129,860 ",
171 ,64561,"89,739,526 ","41,045 ",
172 ,12032,"89,723,138 ","359,771 ",
173 ,00790,"89,216,471 ","368,569 ",
174 ,93656,"87,283,494 ","94,827 ",
175 ,36475,"86,960,116 ","86,036 ",
176 ,99458,"86,607,079 ","2,191,546 ",
177 ,90966,"85,567,558 ","296,349 ",
178 ,96365,"85,437,939 ","1,391,439 ",
179 ,36482,"83,268,992 ","52,023 ",
180 ,95165,"83,223,705 ","5,868,147 ",
181 ,64721,"82,755,668 ","153,302 ",
182 ,99487,"80,206,817 ","634,260 ",
183 ,93971,"79,611,320 ","1,504,732 ",
184 ,13132,"79,595,972 ","288,780 ",
185 ,88307,"78,745,458 ","904,003 ",
186 ,65778,"78,196,371 ","71,804 ",
187 ,00813,"77,460,964 ","618,771 ",
188 ,15823,"76,854,863 ","108,114 ",
189 ,33361,"76,667,515 ","104,140 ",
190 ,33533,"76,580,979 ","68,696 ",
191 ,76770,"76,173,771 ","1,280,432 ",
192 ,65820,"75,986,457 ","60,264 ",
193 ,45378,"75,418,947 ","303,189 ",
194 ,95886,"74,669,939 ","842,466 ",
195 ,72197,"74,601,474 ","392,915 ",
196 ,72125,"74,450,149 ","1,546,985 ",
197 ,81419,"74,379,907 ","30,377 ",
198 ,83970,"73,699,856 ","1,785,768 ",
199 ,97610,"73,618,360 ","180,658 ",
200 ,93243,"72,761,354 ","255,497 ",
